Price,Close,High,Low,Open,Volume
Ticker,FCSSOFT.NS,FCSSOFT.NS,FCSSOFT.NS,FCSSOFT.NS,FCSSOFT.NS
Date,,,,,
2024-01-01,4.25,4.400000095367432,4.150000095367432,4.150000095367432,13745287
2024-01-02,4.25,4.449999809265137,4.150000095367432,4.300000190734863,15351551
2024-01-03,4.25,4.349999904632568,4.25,4.25,10988677
2024-01-04,4.599999904632568,4.650000095367432,4.25,4.300000190734863,54931291
2024-01-05,4.550000190734863,4.849999904632568,4.5,4.650000095367432,22101233
2024-01-08,4.550000190734863,4.699999809265137,4.5,4.650000095367432,22715829
2024-01-09,4.550000190734863,4.650000095367432,4.5,4.650000095367432,10380186
2024-01-10,4.449999809265137,4.599999904632568,4.400000095367432,4.599999904632568,8635530
2024-01-11,4.449999809265137,4.550000190734863,4.449999809265137,4.5,6331217
2024-01-12,4.849999904632568,4.849999904632568,4.449999809265137,4.5,33082618
2024-01-15,5.300000190734863,5.300000190734863,5.0,5.199999809265137,69777344
2024-01-16,5.099999904632568,5.599999904632568,4.900000095367432,5.449999809265137,63127735
2024-01-17,5.099999904632568,5.300000190734863,4.849999904632568,5.0,32608603
2024-01-18,5.150000095367432,5.25,4.75,5.099999904632568,29406921
2024-01-19,5.050000190734863,5.300000190734863,5.0,5.199999809265137,24184529
2024-01-23,4.849999904632568,5.150000095367432,4.800000190734863,5.099999904632568,26739091
2024-01-24,4.849999904632568,4.949999809265137,4.800000190734863,4.849999904632568,17489896
2024-01-25,4.800000190734863,4.900000095367432,4.800000190734863,4.900000095367432,9566813
2024-01-29,5.0,5.099999904632568,4.800000190734863,4.849999904632568,26132266
2024-01-30,4.900000095367432,5.099999904632568,4.849999904632568,5.050000190734863,18492836
2024-01-31,5.300000190734863,5.349999904632568,4.900000095367432,4.949999809265137,61103479
2024-02-01,5.800000190734863,5.800000190734863,5.400000095367432,5.400000095367432,55412554
2024-02-02,6.349999904632568,6.349999904632568,5.949999809265137,6.0,22265395
2024-02-05,6.050000190734863,6.650000095367432,6.050000190734863,6.5,48064932
2024-02-06,6.25,6.349999904632568,5.75,5.849999904632568,83743686
2024-02-07,6.25,6.449999809265137,6.150000095367432,6.300000190734863,31930690
2024-02-08,6.150000095367432,6.5,6.050000190734863,6.349999904632568,28848670
2024-02-09,6.050000190734863,6.199999809265137,5.849999904632568,6.150000095367432,31137965
2024-02-12,5.75,6.0,5.75,5.949999809265137,20285600
2024-02-13,5.5,5.550000190734863,5.5,5.5,11858691
2024-02-14,5.699999809265137,5.75,5.25,5.25,49740042
2024-02-15,5.550000190734863,5.75,5.550000190734863,5.699999809265137,11536720
2024-02-16,5.449999809265137,5.599999904632568,5.400000095367432,5.599999904632568,10343533
2024-02-19,5.699999809265137,5.699999809265137,5.449999809265137,5.449999809265137,20471388
2024-02-20,5.5,5.699999809265137,5.5,5.699999809265137,13551629
2024-02-21,5.449999809265137,5.599999904632568,5.400000095367432,5.5,7675968
2024-02-22,5.300000190734863,5.449999809265137,5.25,5.400000095367432,10429095
2024-02-23,5.150000095367432,5.349999904632568,5.150000095367432,5.300000190734863,9185397
2024-02-26,4.900000095367432,5.199999809265137,4.900000095367432,5.199999809265137,13970514
2024-02-27,5.099999904632568,5.099999904632568,4.900000095367432,4.949999809265137,5994040
2024-02-28,4.900000095367432,5.300000190734863,4.849999904632568,5.199999809265137,28259614
2024-02-29,4.800000190734863,4.900000095367432,4.650000095367432,4.849999904632568,13607033
2024-03-01,4.949999809265137,5.0,4.800000190734863,4.849999904632568,11614624
2024-03-04,4.849999904632568,5.050000190734863,4.800000190734863,5.0,9021845
2024-03-05,4.699999809265137,4.949999809265137,4.650000095367432,4.849999904632568,7628762
2024-03-06,4.5,4.699999809265137,4.5,4.650000095367432,8721450
2024-03-07,4.699999809265137,4.699999809265137,4.349999904632568,4.449999809265137,17072468
2024-03-11,4.5,4.800000190734863,4.5,4.800000190734863,8965616
2024-03-12,4.300000190734863,4.5,4.300000190734863,4.5,9339209
2024-03-13,4.099999904632568,4.25,4.099999904632568,4.25,4733450
2024-03-14,3.950000047683716,4.099999904632568,3.9000000953674316,3.9000000953674316,28092554
2024-03-15,3.950000047683716,4.099999904632568,3.8499999046325684,3.950000047683716,15176978
2024-03-18,4.0,4.099999904632568,3.950000047683716,4.0,8060712
2024-03-19,3.8499999046325684,4.0,3.799999952316284,4.0,7502665
2024-03-20,3.75,3.9000000953674316,3.700000047683716,3.9000000953674316,7057073
2024-03-21,3.8499999046325684,3.9000000953674316,3.799999952316284,3.799999952316284,6725851
2024-03-22,3.75,3.8499999046325684,3.700000047683716,3.8499999046325684,12781186
2024-03-26,3.5999999046325684,3.75,3.5999999046325684,3.75,10172090
2024-03-27,3.5999999046325684,3.700000047683716,3.549999952316284,3.549999952316284,8771013
2024-03-28,3.6500000953674316,3.75,3.5999999046325684,3.6500000953674316,8966469
2024-04-01,3.799999952316284,3.799999952316284,3.6500000953674316,3.700000047683716,10715386
2024-04-02,3.950000047683716,3.950000047683716,3.8499999046325684,3.8499999046325684,4510979
2024-04-03,4.099999904632568,4.099999904632568,4.050000190734863,4.099999904632568,5330887
2024-04-04,4.300000190734863,4.300000190734863,4.199999809265137,4.300000190734863,4822585
2024-04-05,4.5,4.5,4.25,4.5,16253818
2024-04-08,4.300000190734863,4.650000095367432,4.300000190734863,4.550000190734863,9557492
2024-04-09,4.300000190734863,4.400000095367432,4.25,4.400000095367432,4691909
2024-04-10,4.150000095367432,4.449999809265137,4.099999904632568,4.349999904632568,5534639
2024-04-12,4.25,4.349999904632568,4.050000190734863,4.150000095367432,14453881
2024-04-15,4.050000190734863,4.150000095367432,4.050000190734863,4.150000095367432,10494872
2024-04-16,4.050000190734863,4.25,3.950000047683716,3.950000047683716,15344401
2024-04-18,4.0,4.150000095367432,3.950000047683716,4.099999904632568,6752654
2024-04-19,3.950000047683716,3.950000047683716,3.799999952316284,3.799999952316284,8137092
2024-04-22,4.099999904632568,4.099999904632568,3.950000047683716,4.0,7150513
2024-04-23,4.099999904632568,4.199999809265137,4.050000190734863,4.150000095367432,6996359
2024-04-24,4.25,4.300000190734863,4.099999904632568,4.150000095367432,19211621
2024-04-25,4.199999809265137,4.400000095367432,4.150000095367432,4.199999809265137,7144701
2024-04-26,4.099999904632568,4.199999809265137,4.0,4.199999809265137,7469452
